OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"638",0,4340,Arnhem,Arnhem,Rosendaalseweg,"607", ,6824KL,6824KL607, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192931,445724,,Biotoop,
"639",0,4342,Arnhem,Arnhem,Rosendaalseweg,"611", ,6824KL,6824KL611, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192935,445726,,Biotoop,
"640",0,4344,Arnhem,Arnhem,Rosendaalseweg,"615", ,6824KL,6824KL615, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192935,445722,,Biotoop,
"641",0,4353,Arnhem,Arnhem,Rosendaalseweg,"633", ,6824KL,6824KL633, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192977,445748,,Biotoop,
"642",0,4354,Arnhem,Arnhem,Rosendaalseweg,"635", ,6824KL,6824KL635, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1920","1923", , , ,192976,445746,,Biotoop,
"785",0,3527,Arnhem,Arnhem,"Biesterfeldstraat, Lippe","21", ,6824LJ,6824LJ21, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,14-9-1999,"1953","1954", , , ,192973,445492,,Biotoop,
"787",0,3537,Arnhem,Arnhem,"Biesterfeldstraat, Lippe","39", ,6824LL,6824LL39, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,14-9-1999,"1953","1954", , , ,192973,445492,,Biotoop,
"1163",16082,18848,Lingewaard,Gendt,Waaldijk,"34", ,6691MD,6691MD34, ,grenspaal,territoriale functie,rijksmonument,hoge kwaliteit, ,"1700","1800", , , ,192954,432200,,Biotoop,
"1370",0,42651,Apeldoorn,APELDOORN,Asselsestraat,"286", ,7312DD,7312DD286, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1917", ,30-6-2004, , ,192627,469076,,Biotoop,
"1842",0,2869,Arnhem,Arnhem,Hertenlaan,"27", ,6823LC,6823LC27, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,25-5-1999,"1923","1924", , , ,192986,446539,,Biotoop,
